timestamp,vram_dedicated_bytes,ram_used_bytes,foamrun_rss_bytes
1778257075.688314756,1373065216,36603539456,33197879296
1778257075.915589690,1372639232,36605403136,34016014336
1778257076.144244576,1372639232,36605976576,34016014336
1778257076.371661823,1372639232,34733924352,29567025152
1778257076.598075619,1372704768,34811887616,32966152192
1778257076.822969875,1372704768,36261683200,34132885504
1778257077.046949997,1372704768,36883062784,34731896832
1778257077.270967862,1372704768,37163843584,34936598528
1778257077.495510586,1372704768,36300763136,31229263872
1778257077.719725002,1372704768,36520960000,34553880576
1778257077.945844633,1372639232,41197690880,39085699072
1778257078.172310075,1372639232,41197035520,39085699072
1778257078.398915513,1372639232,41199480832,38157758464
1778257078.627940169,1372639232,41200349184,38975893504
1778257078.856280252,1372639232,41200590848,38975893504
1778257079.083527551,1372639232,41202675712,39192522752
1778257079.308257845,1372639232,43676233728,39408750592
1778257079.532540656,1372934144,44844486656,42841399296
1778257079.757058309,1372639232,44312420352,39093620736
1778257079.985266729,1372639232,42368679936,40592867328
1778257080.210475913,1372639232,43648745472,41548009472
1778257080.439608620,1372639232,43664855040,40620068864
1778257080.667494825,1372639232,43664158720,41438203904
1778257080.893508187,1372639232,43664367616,41438203904
1778257081.121974086,1372639232,43663908864,39086297088
1778257081.349425497,1372639232,44577632256,42632179712
1778257081.576176189,1372639232,45133422592,39478931456
1778257081.801145668,1372639232,36179193856,34168590336
1778257082.023303520,1372573696,36178141184,34168590336
1778257082.246064531,1372573696,38744465408,36930908160
1778257082.471790009,1372573696,43767951360,41975586816
1778257082.696932965,1372573696,44377948160,42266267648
1778257082.926263171,1372573696,44377251840,41440276480
1778257083.154638300,1372573696,44376748032,42258411520
1778257083.382409183,1372868608,44377202688,42258411520
1778257083.610794235,1372868608,44378394624,41163702272
1778257083.837760608,1372639232,44353839104,41455034368
1778257084.063620460,1372639232,46018162688,41115545600
1778257084.288077899,1372639232,42907209728,38283628544
1778257084.513794364,1372639232,44372234240,42266267648
1778257084.741154091,1372639232,44373463040,39804006400
1778257084.968305296,1372639232,44373516288,41440276480
1778257085.197942861,1372639232,44373962752,42258411520
1778257085.425967700,1372704768,44374151168,42258411520
1778257085.656014532,1372704768,44376154112,41506983936
1778257085.879676230,1372704768,46577205248,44627750912
1778257086.106332516,1372704768,44560183296,37407252480
1778257086.331537291,1372704768,39713550336,35031359488
1778257086.558770001,1372704768,41756536832,39954358272
1778257086.783035651,1372704768,42733613056,40625680384
1778257087.011811351,1372704768,42733404160,39799689216
1778257087.241033215,1372704768,42734178304,40617824256
1778257087.469175821,1372704768,42734653440,40617824256
1778257087.697584948,1372704768,42735169536,38163419136
1778257087.925990596,1372704768,42711126016,39649460224
1778257088.151766642,1372704768,42677026816,38989959168
1778257088.377615095,1372704768,41174040576,38074273792
1778257088.601032597,1372704768,42480754688,40654733312
1778257088.826693706,1372704768,46013616128,43905437696
1778257089.054782676,1372704768,46014074880,41751261184
1778257089.280583024,1372704768,46014074880,43192270848
1778257089.509594494,1372704768,46014267392,43897581568
1778257089.737248749,1372704768,46006415360,42721533952
1778257089.965066900,1372639232,46014803968,41451110400
1778257090.193196176,1372639232,45686591488,39999795200
1778257090.419883380,1372639232,41592643584,37426085888
1778257090.645922430,1372639232,42270990336,40476176384
1778257090.870540768,1372639232,44522270720,41754980352
1778257091.096089167,1372639232,48740114432,46909480960
1778257091.319438340,1372639232,51017940992,48910069760
1778257091.545664393,1372639232,51075371008,48026443776
1778257091.769937359,1372639232,51075956736,48965414912
1778257091.996138919,1372639232,51084140544,48965414912
1778257092.224045868,1372639232,51107979264,46536986624
1778257092.452089764,1372639232,49032474624,44082634752
1778257092.680485218,1372639232,47513313280,42636746752
1778257092.909114561,1372639232,44574281728,40845721600
1778257093.135834759,1372639232,41410748416,36740624384
1778257093.361810439,1370542080,41411436544,38277525504
1778257093.588584317,1370607616,41573294080,39725559808
1778257093.812577610,1370607616,42809360384,40394145792
1778257094.037607536,1370607616,43524308992,41451220992
1778257094.264000132,1370607616,44538195968,42462556160
1778257094.487351411,1370607616,44537741312,42189811712
1778257094.712555878,1370607616,45072842752,43007873024
1778257094.941476981,1370607616,45076131840,43007873024
1778257095.169267129,1370542080,45100998656,41371574272
1778257095.394458634,1370542080,45100081152,41917145088
1778257095.621164617,1370542080,45099237376,42735206400
1778257095.847020965,1370607616,45099204608,43007893504
1778257096.072844429,1370607616,44922994688,40860147712
1778257096.298342785,1370607616,44923240448,41917145088
1778257096.523370456,1370607616,44923486208,42189832192
1778257096.748065687,1370607616,45098184704,43007893504
1778257096.977161442,1370607616,45098467328,43007893504
1778257097.205027218,1370607616,41665748992,38020460544
1778257097.434232841,1370738688,41667010560,38434684928
1778257097.662833599,1370738688,41796603904,38889508864
1778257097.888587953,1370968064,41797791744,38952747008
1778257098.115894807,1370673152,43446603776,41340039168
1778257098.345136996,1370673152,43447181312,41342668800
1778257098.573969687,1370673152,45087113216,40418734080
1778257098.802577696,1370673152,44193091584,39955406848
1778257099.028442902,1370607616,44194709504,38113976320
1778257099.257064201,1370607616,41683161088,38631489536
1778257099.482220105,1370607616,42885984256,40828997632
1778257099.708056507,1370607616,42902163456,40010862592
1778257099.934682514,1888374784,42877743104,39334502400
1778257100.174337400,3129954304,43795869696,42295259136
1778257100.400747512,3130249216,43936813056,42346553344
1778257100.626948807,3129954304,43937316864,42346553344
1778257100.852359065,3129954304,44185042944,42687340544
1778257101.078894715,3129954304,44711792640,42153017344
1778257101.305819959,3129954304,45205188608,43633250304
1778257101.529735476,3129954304,45758959616,44064354304
1778257101.753778970,3129954304,46822727680,45263843328
1778257101.976378142,3129954304,47425875968,45864001536
1778257102.199268407,3129954304,47614754816,46040109056
1778257102.423539009,3130249216,48218636288,46656094208
1778257102.647803039,3129954304,48500072448,45209522176
1778257102.871470645,3129954304,48846131200,45566627840
1778257103.095105869,3129954304,49201614848,45924290560
1778257103.318330454,3129954304,49574256640,46284763136
1778257103.542055217,3130019840,49930817536,46637334528
1778257103.765295845,3130019840,50293301248,46989529088
1778257103.988597022,3130019840,50647056384,47352983552
1778257104.212039902,3130019840,51009863680,47708086272
1778257104.435979802,3184111616,50924359680,46476955648
1778257104.659134175,3184111616,48991162368,45739515904
1778257104.882224835,3184046080,49659899904,46410473472
1778257105.105411273,3184046080,50337824768,47083483136
1778257105.328348326,3184324608,50998439936,47748501504
1778257105.551907016,3184046080,51675197440,48427880448
1778257105.775075567,3184046080,52231835648,49027059712
1778257105.997796414,3184046080,52827144192,49627303936
1778257106.220729774,3184046080,53109911552,49879224320
1778257106.444303447,3184046080,53242753024,50029649920
1778257106.667904724,3184046080,53590626304,50358489088
1778257106.891708034,3184046080,53531344896,50358489088
1778257107.115572692,3184046080,53530632192,50358489088
1778257107.338981299,3184046080,53531144192,50358489088
1778257107.562661737,3184046080,53531373568,50358489088
1778257107.786003105,3184046080,53455360000,50358489088
1778257108.008718598,3184046080,53453160448,50358489088
1778257108.232160413,3184046080,53454090240,50358489088
1778257108.456015665,3184046080,53457096704,50358489088
1778257108.679786894,3184111616,53455450112,50358489088
1778257108.904014442,3184111616,53380149248,50358489088
1778257109.126246995,3184111616,53380583424,50358489088
